epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5969,1.76411,3.37483,2.08894,0.00351,1,0.40561,0.16768,1.52812,4.14009,2.30222,0.00015719,0.00015719,0.00015719
2,23.8511,1.61001,2.53241,1.80929,0.00325,0.97778,0.72151,0.29294,1.51018,3.91064,2.17973,0.000325416,0.000325416,0.000325416
3,35.5641,1.55247,2.30453,1.74718,0.00328,0.97778,0.64119,0.28039,1.69512,3.81441,2.34199,0.000490247,0.000490247,0.000490247
4,47.8069,1.60139,2.13343,1.75858,0.3449,0.7697,0.33077,0.10724,2.12472,4.15254,2.82264,0.000651683,0.000651683,0.000651683
5,61.2618,1.59368,1.97587,1.74925,0.52716,0.34076,0.52129,0.17449,2.25411,3.88033,2.86677,0.000809723,0.000809723,0.000809723
6,75.2439,1.56898,1.9221,1.71245,0.73148,0.29741,0.4393,0.15059,1.90535,3.79735,2.63955,0.000964368,0.000964368,0.000964368
7,88.5661,1.58176,1.93102,1.73649,0.38127,0.56439,0.48569,0.16264,1.95262,3.60779,2.95698,0.00111562,0.00111562,0.00111562
8,101.577,1.51291,1.90191,1.69045,0.50608,0.69899,0.64875,0.28978,1.75582,3.08377,2.72429,0.00126347,0.00126347,0.00126347
9,114.641,1.53766,1.82227,1.68735,0.68205,0.71975,0.83183,0.35882,1.78466,3.12742,2.64185,0.00131582,0.00131582,0.00131582
10,129.586,1.58994,1.83393,1.73909,0.74825,0.71291,0.8171,0.34335,1.77793,2.66865,2.54816,0.00130168,0.00130168,0.00130168
11,143.943,1.52126,1.70397,1.65903,0.45573,0.78519,0.80456,0.3099,2.00068,3.18488,2.88383,0.00128753,0.00128753,0.00128753
12,157.764,1.55193,1.70366,1.68388,0.78523,0.91745,0.87919,0.36471,1.92743,2.21588,2.60579,0.00127338,0.00127338,0.00127338
13,172.048,1.50315,1.61891,1.66429,0.65376,0.72448,0.67506,0.25913,2.28462,2.45263,3.54724,0.00125923,0.00125923,0.00125923
14,184.815,1.60203,1.70122,1.7239,0.73718,0.83046,0.8052,0.3152,2.04963,2.15033,2.72318,0.00124509,0.00124509,0.00124509
15,198.374,1.52757,1.66868,1.69822,0.79756,0.86074,0.88804,0.38671,1.74514,1.927,2.37914,0.00123094,0.00123094,0.00123094
16,210.753,1.54304,1.63468,1.66968,0.78417,0.78483,0.87904,0.39698,1.82624,1.9213,2.41155,0.00121679,0.00121679,0.00121679
17,223.729,1.50521,1.56169,1.62035,0.89868,0.88743,0.90868,0.40968,1.74502,1.72328,2.38458,0.00120265,0.00120265,0.00120265
18,238.422,1.47772,1.52138,1.63809,0.61797,0.84242,0.81698,0.34833,1.90315,2.10251,2.5085,0.0011885,0.0011885,0.0011885
19,253.688,1.51607,1.4995,1.68902,0.77553,0.53333,0.70623,0.31321,1.83424,2.40137,2.45755,0.00117435,0.00117435,0.00117435
20,269.043,1.50016,1.4712,1.64887,0.72989,0.77799,0.81691,0.37102,1.83386,1.97141,2.42172,0.00116021,0.00116021,0.00116021
21,282.498,1.49023,1.45839,1.65056,0.8315,0.87524,0.86495,0.33451,2.00746,1.86491,2.51036,0.00114606,0.00114606,0.00114606
22,297.292,1.50588,1.41303,1.65156,0.81117,0.8412,0.82125,0.35868,1.95085,1.76833,2.55864,0.00113191,0.00113191,0.00113191
23,314.982,1.40972,1.32412,1.54112,0.80463,0.70898,0.71263,0.34083,1.74722,1.49466,2.3704,0.00111776,0.00111776,0.00111776
24,332.602,1.46573,1.35019,1.5928,0.76794,0.76871,0.75524,0.30746,1.96192,1.75682,2.69427,0.00110362,0.00110362,0.00110362
25,350.148,1.4675,1.35582,1.59901,0.84845,0.90303,0.89126,0.42507,1.71088,1.51505,2.34675,0.00108947,0.00108947,0.00108947
26,367.252,1.4641,1.34596,1.58485,0.59525,0.64474,0.74332,0.29842,1.80306,1.9999,2.41086,0.00107532,0.00107532,0.00107532
27,389.296,1.45268,1.35178,1.62889,0.7788,0.76768,0.77743,0.3353,1.82876,1.60963,2.4004,0.00106118,0.00106118,0.00106118
28,404.866,1.37905,1.26156,1.53738,0.82774,0.86404,0.84629,0.40456,1.91768,1.49671,2.54635,0.00104703,0.00104703,0.00104703
29,421.244,1.43572,1.28297,1.53461,0.81559,0.84949,0.78141,0.33104,2.02791,1.63391,2.64067,0.00103288,0.00103288,0.00103288
30,439.248,1.43602,1.20918,1.58307,0.9371,0.92538,0.92475,0.41168,1.80388,1.34226,2.39226,0.00101873,0.00101873,0.00101873
31,460.841,1.43767,1.2106,1.54499,0.82042,0.4404,0.44831,0.16589,1.92698,1.33357,2.52932,0.00100459,0.00100459,0.00100459
32,482.363,1.44077,1.24273,1.59342,0.87182,0.53737,0.54569,0.2067,1.85493,1.30017,2.39839,0.00099044,0.00099044,0.00099044
33,502.399,1.40354,1.17099,1.55282,0.84851,0.72448,0.71265,0.28579,1.86012,1.35316,2.4094,0.000976293,0.000976293,0.000976293
34,522.159,1.42806,1.28617,1.59665,0.88076,0.86629,0.89393,0.41652,1.80851,1.36505,2.33601,0.000962146,0.000962146,0.000962146
35,541.678,1.37589,1.13538,1.51087,0.87694,0.84531,0.86508,0.38318,1.81579,1.41272,2.33094,0.000947999,0.000947999,0.000947999
36,559.461,1.42327,1.23025,1.53655,0.88396,0.90303,0.88711,0.41927,1.75228,1.24875,2.29429,0.000933851,0.000933851,0.000933851
37,579.022,1.36738,1.1307,1.51358,0.87852,0.89382,0.90611,0.42477,1.67076,1.19434,2.28679,0.000919704,0.000919704,0.000919704
38,596.282,1.36724,1.11338,1.53943,0.86799,0.90172,0.87628,0.39114,1.84383,1.1858,2.47371,0.000905557,0.000905557,0.000905557
39,611.867,1.37163,1.17144,1.53836,0.90161,0.93232,0.91604,0.42378,1.77347,1.12347,2.32958,0.00089141,0.00089141,0.00089141
40,627.85,1.34274,1.13965,1.52168,0.90467,0.91482,0.89648,0.39426,1.89358,1.12123,2.45641,0.000877263,0.000877263,0.000877263
41,646.02,1.42067,1.18216,1.55439,0.90685,0.9101,0.8921,0.44693,1.70757,1.09006,2.29127,0.000863116,0.000863116,0.000863116
42,663.346,1.26392,1.0654,1.46406,0.89125,0.92525,0.89033,0.43945,1.69638,1.11395,2.27754,0.000848969,0.000848969,0.000848969
43,678.773,1.28379,1.05736,1.47473,0.79806,0.79465,0.77903,0.31881,1.99756,1.31768,2.57528,0.000834822,0.000834822,0.000834822
44,693.24,1.32753,1.08949,1.49436,0.857,0.86566,0.8278,0.3885,1.84384,1.15437,2.45965,0.000820675,0.000820675,0.000820675
45,708.361,1.31569,0.9914,1.4616,0.94882,0.94161,0.92606,0.41549,1.8092,1.1686,2.45168,0.000806528,0.000806528,0.000806528
46,724.151,1.28042,0.97696,1.46285,0.92431,0.94747,0.93798,0.43133,1.79383,1.16063,2.42703,0.00079238,0.00079238,0.00079238
47,737.462,1.34571,1.05634,1.48996,0.92426,0.91717,0.91244,0.43934,1.81873,1.16499,2.40753,0.000778233,0.000778233,0.000778233
48,750.81,1.33459,1.0284,1.49877,0.882,0.87679,0.87077,0.38431,1.89587,1.15392,2.5033,0.000764086,0.000764086,0.000764086
49,766.443,1.3144,0.99904,1.4581,0.85686,0.84742,0.84189,0.35681,2.00963,1.11394,2.67508,0.000749939,0.000749939,0.000749939
50,786.863,1.27278,1.00189,1.44863,0.9228,0.92995,0.91292,0.38657,1.93811,0.99971,2.51668,0.000735792,0.000735792,0.000735792
51,801.134,1.27717,0.96121,1.44529,0.91895,0.90971,0.90155,0.38532,1.97451,0.99316,2.57856,0.000721645,0.000721645,0.000721645
52,814.353,1.2774,1.00975,1.46449,0.91098,0.92292,0.92696,0.39612,1.92745,0.99315,2.51901,0.000707498,0.000707498,0.000707498
53,827.277,1.25741,0.94102,1.45029,0.93145,0.92525,0.90066,0.40514,1.86718,0.98712,2.4398,0.000693351,0.000693351,0.000693351
54,839.157,1.25786,0.94458,1.49018,0.8896,0.90707,0.90616,0.38353,1.85233,1.04706,2.47194,0.000679204,0.000679204,0.000679204
55,850.753,1.26844,0.91128,1.48786,0.85524,0.86566,0.86716,0.39051,1.90085,1.0311,2.48726,0.000665057,0.000665057,0.000665057
56,862.794,1.23201,0.92038,1.45112,0.90564,0.89412,0.89296,0.39902,1.87603,1.02181,2.45136,0.000650909,0.000650909,0.000650909
57,874.988,1.19318,0.87805,1.40342,0.88872,0.90301,0.89815,0.39072,1.89333,0.97284,2.47135,0.000636762,0.000636762,0.000636762
58,887.573,1.18663,0.86064,1.40007,0.88234,0.88081,0.84622,0.35954,2.004,0.92748,2.61737,0.000622615,0.000622615,0.000622615
59,899.955,1.24141,0.92702,1.52437,0.79147,0.80606,0.73499,0.30501,2.1842,0.96213,2.87107,0.000608468,0.000608468,0.000608468
60,912.568,1.25537,0.85592,1.46141,0.85531,0.86566,0.8095,0.38645,1.91731,0.95094,2.51698,0.000594321,0.000594321,0.000594321
61,924.398,1.22083,0.88613,1.42174,0.94438,0.94747,0.92422,0.43945,1.82309,0.88439,2.42366,0.000580174,0.000580174,0.000580174
62,937.272,1.23874,0.85541,1.4228,0.92748,0.93232,0.91209,0.40461,1.95902,0.89695,2.6045,0.000566027,0.000566027,0.000566027
63,950.806,1.18388,0.85887,1.41826,0.91357,0.9101,0.88005,0.38801,2.04227,0.89028,2.69402,0.00055188,0.00055188,0.00055188
64,962.626,1.19056,0.84366,1.42422,0.91232,0.9101,0.89578,0.40579,1.97704,0.86273,2.63623,0.000537733,0.000537733,0.000537733
65,974.36,1.16731,0.80227,1.4016,0.90836,0.9101,0.88406,0.39328,1.97892,0.90259,2.65743,0.000523586,0.000523586,0.000523586
66,986.686,1.10465,0.7917,1.39453,0.87842,0.88081,0.86361,0.3897,2.01096,0.92888,2.73078,0.000509438,0.000509438,0.000509438
67,999.211,1.13184,0.79553,1.39165,0.9054,0.9101,0.85915,0.41126,1.91206,0.89542,2.7206,0.000495291,0.000495291,0.000495291
